Position,Down,Distance,Plays,Runs,Run Yards Exp,Run Points Exp,Passes,Pass Yards Exp,Pass Points Exp,Sacks,Sack Yards Exp,Sack Points Exp,Punts,Field Goals,Expected Yards,Expected Points
30,3,3,165,38,7.973684211,2.526315789,110,8.218181818,2.436363636,13,-6.307692308,0.461538462,0,0,6.98757764,2.298136646
30,3,4,17,6,5.333333333,3.166666667,10,11.3,3.3,0,0,0,0,1,9.0625,3.25
30,4,0,194,99,2.454545455,2.464646465,42,5.380952381,1.880952381,2,-9.5,0,5,46,3.146853147,2.258741259
30,4,1,159,9,4.888888889,1.555555556,44,6,1.977272727,6,-9,1.166666667,9,91,4.305084746,1.830508475
30,4,2,184,11,7.545454545,1.272727273,40,8.65,1.975,8,-5.75,0,11,114,6.491525424,1.576271186
30,4,3,102,5,11.4,0.6,18,10.66666667,1.444444444,2,-9,0,11,66,9.24,1.16
30,4,4,20,1,25,7,2,6.5,0,0,0,0,1,16,12.66666667,2.333333333
35,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,1,17,7,12.57142857,3.428571429,8,9.125,4.375,1,-8,7,0,1,9.5625,4.125
35,1,2,3184,1161,5.339362618,3.419465978,970,8.151546392,3.609278351,56,-6.142857143,2.160714286,1,7,6.292638317,3.471422039
35,1,3,71,27,5.518518519,3.481481481,40,6.275,3.45,0,0,0,0,0,5.970149254,3.462686567
35,1,4,9,4,7.25,2.25,3,11,2.333333333,0,0,0,0,0,8.857142857,2.285714286
35,2,0,292,185,4.821621622,4.086486486,85,8.529411765,4.352941176,2,-6.5,0,0,0,5.897058824,4.139705882
35,2,1,456,265,5.498113208,3.350943396,152,7.447368421,3.467105263,7,-4.857142857,0,0,0,6.025943396,3.337264151
35,2,2,960,400,5.1,2.88,445,6.062921348,3.04494382,28,-6.928571429,2.071428571,0,5,5.205040092,2.93814433
35,2,3,410,64,5.171875,2.03125,147,6.639455782,2.727891156,4,-6.75,0,0,1,5.953488372,2.469767442
35,2,4,33,6,4.666666667,2.166666667,18,7.888888889,2.166666667,1,-7,0,0,0,6.52,2.08
35,3,0,329,230,5.334782609,3.613043478,77,6.623376623,3.38961039,2,-4,3.5,0,2,5.595469256,3.556634304
35,3,1,355,111,5.684684685,2.900900901,202,8.252475248,3.069306931,11,-7.727272727,0.636363636,0,1,6.830246914,2.929012346
35,3,2,393,69,6.550724638,2.942028986,280,6.553571429,2.135714286,16,-6.25,0,0,4,5.991780822,2.194520548
35,3,3,191,22,6.545454545,2.227272727,125,9.296,1.88,11,-7.090909091,0,0,0,7.772151899,1.797468354
35,3,4,32,6,3.5,1,18,7.666666667,1.277777778,1,-7,0,0,1,6.08,1.16
35,4,0,212,109,4.95412844,3.110091743,49,6.571428571,2.836734694,0,0,0,18,24,5.455696203,3.025316456
35,4,1,171,11,4.727272727,3.181818182,56,8.428571429,2.303571429,5,-7,0,49,39,6.791666667,2.277777778
35,4,2,267,13,6.384615385,1.538461538,52,8.230769231,2.038461538,6,-6.333333333,0,94,82,6.661971831,1.774647887
35,4,3,175,6,5.833333333,0.5,16,6.5625,1.75,2,-8.5,0,72,60,5.125,1.291666667
35,4,4,42,0,0,0,1,0,0,1,-8,0,18,20,-4,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,1,12,8,5.25,3,2,1.5,3.5,1,-13,0,0,0,2.909090909,2.818181818
40,1,2,2404,1297,5.305319969,3.225905937,1005,8.028855721,3.48159204,58,-5.827586207,2.25862069,0,7,6.191525424,3.311016949
40,1,3,55,17,5.235294118,2.941176471,37,4.567567568,2.783783784,0,0,0,0,1,4.777777778,2.833333333
40,1,4,11,3,4,1,6,4.5,3.333333333,2,-1,0,0,0,3.363636364,2.090909091
40,2,0,295,192,5.427083333,3.671875,96,6.791666667,3.916666667,6,-6,1.166666667,0,0,5.639455782,3.700680272
40,2,1,410,244,5.819672131,3.081967213,157,5.292993631,3.350318471,8,-3.5,1.75,0,0,5.435207824,3.158924205
40,2,2,937,405,6.637037037,3.12345679,498,7.297188755,3.170682731,32,-5.71875,0.875,0,0,6.565775401,3.071657754
40,2,3,255,79,5.708860759,2.367088608,153,8.366013072,2.764705882,7,-3.714285714,1,0,0,7.133891213,2.581589958
40,2,4,20,4,2.5,1.5,11,12.81818182,2.181818182,2,-3,1.5,0,0,8.529411765,1.941176471
40,3,0,352,240,4.079166667,2.8375,108,6.824074074,2.212962963,4,-4.5,0,0,0,4.823863636,2.613636364
40,3,1,306,85,3.952941176,1.670588235,209,8.043062201,2.732057416,11,-7.363636364,0,0,1,6.347540984,2.337704918
40,3,2,349,75,6.293333333,2.16,248,8.012096774,2.241935484,20,-7.2,0.35,2,2,6.749271137,2.113702624
40,3,3,190,37,7.648648649,1.27027027,131,7.267175573,1.854961832,15,-7.6,0,2,3,6.12568306,1.584699454
40,3,4,25,2,28,3.5,18,12.66666667,1.055555556,3,-8.333333333,0,0,0,11.26086957,1.130434783
40,4,0,206,85,4,2.341176471,45,6.088888889,2.688888889,1,-6,0,70,5,4.641221374,2.442748092
40,4,1,148,4,16.75,4.25,26,6.692307692,2.961538462,1,-8,0,102,14,7.516129032,3.032258065
40,4,2,188,3,4,0,18,7.722222222,1.555555556,1,-9,0,130,35,6.454545455,1.272727273
40,4,3,157,0,0,0,11,5.454545455,0.636363636,0,0,0,122,24,5.454545455,0.636363636
40,4,4,24,0,0,0,0,0,0,0,0,0,18,6,0,0
45,1,0,1,1,4,0,0,0,0,0,0,0,0,0,4,0
45,1,1,7,4,9.75,0,3,3.333333333,4.666666667,0,0,0,0,0,7,2
45,1,2,2609,1442,5.932038835,2.963938974,1062,8.003766478,3.109227872,64,-6,1.390625,0,2,6.491433022,2.984813084
45,1,3,88,48,5.3125,2.5625,38,10.60526316,2.894736842,1,-12,7,0,0,7.425287356,2.75862069
45,1,4,12,7,6.857142857,1,5,12.8,4.2,0,0,0,0,0,9.333333333,2.333333333
45,2,0,317,196,5.219387755,3.62244898,114,6.122807018,3.736842105,4,8.5,1.75,0,1,5.589171975,3.640127389
45,2,1,496,290,5.051724138,2.837931034,188,7.361702128,3.079787234,14,-5.571428571,1.5,0,0,5.632113821,2.892276423
45,2,2,1007,426,6.138497653,2.262910798,537,7.433891993,2.82867784,40,-5.825,0.6,1,2,6.354935194,2.499501496
45,2,3,275,96,6.322916667,2.53125,151,7.046357616,2.317880795,15,-5.733333333,1.4,0,0,6.049618321,2.34351145
45,2,4,27,9,2.888888889,1,18,7.444444444,1.111111111,0,0,0,0,0,5.925925926,1.074074074
45,3,0,335,233,5.124463519,2.905579399,95,5.894736842,2.652631579,5,-8.4,0,0,2,5.141141141,2.78978979
